(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B015G9UX9C,B015G9UX9C,Teenage Mutant Ninja Turtles 4 Felt Eye Masks,tmnteyemaskset,"5,472",69,1.81%,2.11%,"7,438",111,1.91%,2.57%,96.81%,99.10%,412,10,7.53%,14.49%,"$6,569.20",$157.30,329,7
B016X4YE6W,B016X4YE6W,Fight Soap Salesman Red Sunglasses,fightclubglasses001,"3,246",3,1.07%,0.09%,"5,032",4,1.29%,0.09%,84.82%,100.00%,168,1,5.18%,33.33%,"$3,015.60",$17.95,167,1
B0054KMWQG,B0054KMWQG,Caddyshack Bushwood Country Club Red Baseball Cap Hat,caddyshackhat001,734,10,0.24%,0.31%,972,13,0.25%,0.30%,99.07%,100.00%,157,9,21.39%,90.00%,"$2,797.22",$158.57,127,3
B09JT5NT8K,B09JT5NT8K,Soap Loofah Bubbles Adult Costume Set Cosplay,SoapLoofahCostume,840,2,0.28%,0.06%,"1,221",4,0.31%,0.09%,99.18%,100.00%,103,0,12.26%,0.00%,"$4,362.85",$0.00,101,0
B08HSKFR18,B08HSKFR18,Costume Agent Peephole Picture Frame Tv Show Sitcom Yellow Door Frame,PeepholeFrame,"1,040",11,0.34%,0.34%,"1,339",14,0.34%,0.32%,98.58%,100.00%,89,0,8.56%,0.00%,"$1,293.55",$0.00,81,0
B07BMD7NCZ,B07BMD7NCZ,Michael's Secret Stuff Office TV Show Halloween Cosplay Costume Prop Accessory,SecretStuffWaterBottle,"2,465",31,0.81%,0.95%,"3,035",37,0.78%,0.86%,96.80%,100.00%,81,1,3.29%,3.23%,"$1,534.76",$18.76,74,1
B09YT1P55X,B09YT1P55X,Costume Agent Cheeseburger Backpack Universe Hamburger Daypack One Size,CheeseburgerBackPack,"1,666",9,0.55%,0.28%,"2,388",13,0.61%,0.30%,91.79%,84.62%,76,0,4.56%,0.00%,"$3,362.20",$0.00,73,0
B014Q6VNV8,B014Q6VNV8,Ripple Junction Caddyshack Movie Carl Spackler Character Camo Golf Bucket Hat,caddyshackhat003,598,6,0.20%,0.18%,788,9,0.20%,0.21%,99.49%,100.00%,90,0,15.05%,0.00%,"$1,615.50",$0.00,68,0
B0099U0LZ6,B0099U0LZ6,Sons of Anarchy SOA Reaper Crew Fitted Baseball Cap Hat (Adult Large/X-Large) Black,soahat005-L/XL,"1,258",12,0.42%,0.37%,"1,681",15,0.43%,0.35%,95.12%,100.00%,70,7,5.56%,58.33%,"$1,533.49",$150.64,64,2
B005Y4I6VW,B005Y4I6VW,Fear and Loathing in Las Vegas Hunter S. Thompson Costume Sunglasses - Classic Large Metal Frame Sun Glasses for Adult,fearloathingglasses,759,13,0.25%,0.40%,"1,037",19,0.27%,0.44%,99.13%,84.21%,61,0,8.04%,0.00%,$850.95,$0.00,57,0
B009AWAOQ4,B009AWAOQ4,SOA Sons of Anarchy Reaper Crew Fitted Baseball Cap Hat (Adult Small/Medium) Black,soahat005-S/M,"1,427",9,0.47%,0.28%,"1,939",9,0.50%,0.21%,96.85%,100.00%,52,0,3.64%,0.00%,"$1,037.40",$0.00,50,0
B0BPV8H5PW,B0BPTR7ZF9,Costume Agent Spider Purple Pink Superhero Ghost Pajama Zip Up Jumpsuit with Hood (5/6),220965-GhostSpiderOnesie-5-6,971,8,0.32%,0.25%,"1,199",9,0.31%,0.21%,98.89%,87.50%,50,0,5.15%,0.00%,"$1,647.50",$0.00,50,0
B07CMXY86F,B0046BHE8U,TV Store Superhero Costume Felt Eye Masks Assorted Colors (Red),tmntmasks-Red,"1,088",19,0.36%,0.58%,"1,441",35,0.37%,0.81%,98.38%,100.00%,50,0,4.60%,0.00%,$197.50,$0.00,48,0
B016X4YD3G,B016X4YD3G,Scarface Tony Montana Black Gradiant Sunglasses,scarfaceglasses001,888,4,0.29%,0.12%,"1,262",5,0.32%,0.12%,90.25%,80.00%,54,1,6.08%,25.00%,$861.30,$15.95,48,1
B07RJYX1Y6,B07RJYX1Y6,"Concept One Disney's Pixar Up Wilderness Explorer Cotton Adjustable Baseball Hat with Curved Brim, Yellow, One Size",EMUP2001TV-UpHat,"1,241",8,0.41%,0.25%,"1,738",13,0.45%,0.30%,54.20%,46.15%,52,0,4.19%,0.00%,"$1,093.40",$0.00,47,0
B07BTW25WY,B0039VQGT6,Costume Agent Big Trouble Little China Fu Manchu White Men's Tank Top (X-Large),btlc004-XL,257,2,0.08%,0.06%,325,2,0.08%,0.05%,96.62%,100.00%,45,0,17.51%,0.00%,"$1,032.75",$0.00,45,0
B009Q73R1M,B009Q73R1M,Caddyshack Bushwood Country Club Golf White Baseball Hat,caddyshackhat002,600,8,0.20%,0.25%,871,10,0.22%,0.23%,42.14%,40.00%,61,14,10.17%,175.00%,"$1,374.33",$295.68,43,1
B08NCQFD4Q,B08NCQFD4Q, ,6665614-yellowstobeBaseHat,698,9,0.23%,0.28%,976,10,0.25%,0.23%,38.42%,30.00%,45,0,6.45%,0.00%,"$1,077.75",$0.00,43,0
B001OV92PS,B001OV92PS,Adult Unisex MASH TV Show Medi-Vac Logo Olive Green Adjustable Baseball Hat,mashhat002,252,4,0.08%,0.12%,348,7,0.09%,0.16%,93.10%,100.00%,47,1,18.65%,25.00%,"$1,037.43",$21.73,42,1
B07BTW25WY,B0039VWOLA,Costume Agent Big Trouble Little China Fu Manchu White Men's Tank Top (Large),btlc004-L,345,5,0.11%,0.15%,466,7,0.12%,0.16%,97.77%,100.00%,42,1,12.17%,20.00%,$963.67,$22.72,42,1
B07C5D48QB,B015L2QT56,Macho Man Star Printed Costume Bandana (Red),machomanbandana-Red,275,1,0.09%,0.03%,371,1,0.10%,0.02%,97.77%,100.00%,42,0,15.27%,0.00%,$543.90,$0.00,42,0
B01M0USEIQ,B01M0USEIQ,Wayne's World Blow Up Guitar Music Costume Prop,blowupguitar,408,13,0.13%,0.40%,544,16,0.14%,0.37%,97.24%,56.25%,48,1,11.76%,7.69%,$813.43,$16.78,41,1
B07CRL3XFJ,B000HQ6Q3C,"Hulk Hogan ""hulkamania"" Sleeveless T-shirt Gold [Apparel] Size: Large",hulk003-L,361,3,0.12%,0.09%,460,3,0.12%,0.07%,98.25%,100.00%,40,0,11.08%,0.00%,$958.00,$0.00,40,0
B01LBRL76Q,B01LBRLB2G,Caribbean Pirate Black Costume Boots (Large 12-13),100576BLACK-L,476,6,0.16%,0.18%,618,12,0.16%,0.28%,98.49%,100.00%,39,2,8.19%,33.33%,"$2,960.53",$150.38,39,2
B07CMXY86F,B0046BL756,Superhero Costume Felt Eye Masks Assorted Colors (Blue),tmntmasks-Blue,483,8,0.16%,0.25%,633,11,0.16%,0.25%,96.22%,100.00%,45,1,9.32%,12.50%,$177.71,$3.91,38,1
